1.45	3.15	23.4	23.4	7.96	7.7	5.8	6.34	26.07	13.74
1.75	1.29	2.28	7.12	0.82	2.22	9	11.76	21.9	33.6
2.5	3.63	4.06	23.2	0.46	10.38	69.84	22.71	18.3	21.99
0.95	2.24	13.4	22	10.42	7.98	5.76	4.1	31.8	4.8
1.24	2.65	19.24	15.18	1.04	9.68	8.18	6.18	15.6	8.13
1.35	2.32	18.26	15.18	16.38	5.5	20.64	5.3	34.32	7.17
10.2	12	4.68	9	NAN	NAN	NAN	NAN	NAN	NAN
9.6	15	6	11.1	NAN	NAN	NAN	NAN	NAN	NAN
15	12	0.4	NAN	NAN	NAN	NAN	NAN	NAN	NAN
18	14.4	16.8	NAN	NAN	NAN	NAN	NAN	NAN	NAN
12	11.7	10.8	NAN	NAN	NAN	NAN	NAN	NAN	NAN
13.8	15.6	16.8	NAN	NAN	NAN	NAN	NAN	NAN	NAN
